entity_id	field_entity_id	resource	namespace	field_key	ordinal	key	title	description	curator_comments	medical_comments	is_deprecated	deprecation_reason	is_provisional	source_url	curie	standard_name	grounding	version	entity_count	modified_by	modified_timestamp
B102444	B102318	surgery	clinical	resection_if_applicable	2	gross_total_gtr	Gross Total (GTR)				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.548953+00:00
B102445	B102318	surgery	clinical	resection_if_applicable	3	n_a	N/A				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.551126+00:00
B100458	B100012	surgery	clinical	prior_treatment	1	yes	Yes				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.384295+00:00
B100459	B100012	surgery	clinical	prior_treatment	2	no	No				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.386737+00:00
B102451	B102321	surgery	clinical	tumor_specimen_laterality	1	left	Left				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.565612+00:00
B102452	B102321	surgery	clinical	tumor_specimen_laterality	2	right	Right				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.568145+00:00
B102453	B102321	surgery	clinical	tumor_specimen_laterality	3	midline	Midline				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.570469+00:00
B102454	B102321	surgery	clinical	tumor_specimen_laterality	4	bilateral	Bilateral				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.572730+00:00
B102455	B102321	surgery	clinical	tumor_specimen_laterality	5	not_applicable	Not applicable				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.574999+00:00
B102456	B102321	surgery	clinical	tumor_specimen_laterality	6	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.577278+00:00
B102448	B102322	surgery	clinical	tumor_focality	1	unifocal	Unifocal				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.558356+00:00
B102449	B102322	surgery	clinical	tumor_focality	2	multifocal	Multifocal				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.560729+00:00
B102450	B102322	surgery	clinical	tumor_focality	3	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.563176+00:00
B102422	B102324	surgery	clinical	margins	1	negative	Negative				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.498040+00:00
B102423	B102324	surgery	clinical	margins	2	positive	Positive				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.501233+00:00
B102424	B102324	surgery	clinical	margins	3	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.503752+00:00
B102416	B102325	surgery	clinical	ihc_result	1	positive	Positive				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.480140+00:00
B102417	B102325	surgery	clinical	ihc_result	2	multi_focal	Multi-focal				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.482779+00:00
B102418	B102325	surgery	clinical	ihc_result	3	focal	Focal				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.485214+00:00
B102419	B102325	surgery	clinical	ihc_result	4	patchy	Patchy				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.487779+00:00
B102420	B102325	surgery	clinical	ihc_result	5	rare_cells	Rare Cells				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.490761+00:00
B102421	B102325	surgery	clinical	ihc_result	6	negative	Negative				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.494449+00:00
B102425	B102326	surgery	clinical	molecular_profiling_assays	1	targeted_gene_sequencing	Targeted gene sequencing				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.506221+00:00
B102426	B102326	surgery	clinical	molecular_profiling_assays	2	next_generation_sequencing	Next-generation sequencing				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.508520+00:00
B102427	B102326	surgery	clinical	molecular_profiling_assays	3	whole_exome_sequencing	Whole-exome sequencing				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.511051+00:00
B102428	B102326	surgery	clinical	molecular_profiling_assays	4	whole_genome_sequencing	Whole-genome sequencing				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.513561+00:00
B102429	B102326	surgery	clinical	molecular_profiling_assays	5	methylation_profiling	Methylation profiling				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.515794+00:00
B102430	B102326	surgery	clinical	molecular_profiling_assays	6	chromosomal_copy_number_array	Chromosomal copy-number array				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.517956+00:00
B102431	B102326	surgery	clinical	molecular_profiling_assays	7	karyotyping	Karyotyping				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.520154+00:00
B102432	B102326	surgery	clinical	molecular_profiling_assays	8	fish	FISH				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.522480+00:00
B102433	B102326	surgery	clinical	molecular_profiling_assays	9	msi	MSI				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.524631+00:00
B102434	B102326	surgery	clinical	molecular_profiling_assays	10	other_describe	Other (Describe)				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.526820+00:00
B102446	B102327	surgery	clinical	sequence_alterations	1	free_text	[free text]				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.553325+00:00
B102447	B102327	surgery	clinical	sequence_alterations	2	ex_methylation_profiling_cna_targeted_sequencing	ex: methylation profiling, cna, targeted sequencing				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.555812+00:00
B100460	B100007	surgery	clinical	vital_status_at_last_follow_up	1	alive	Alive				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.389011+00:00
B100461	B100007	surgery	clinical	vital_status_at_last_follow_up	2	deceased	Deceased				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.391365+00:00
B100462	B100007	surgery	clinical	vital_status_at_last_follow_up	3	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.393699+00:00
B102504	B102331	surgery	cancer	vital_status_at_last_follow_up	1	alive	Alive				FALSE		FALSE						8	sde4	2024-07-17T22:18:56.693688+00:00
B102505	B102331	surgery	cancer	vital_status_at_last_follow_up	2	deceased	Deceased				FALSE		FALSE						6	sde4	2024-07-17T22:18:56.695936+00:00
B102506	B102331	surgery	cancer	vital_status_at_last_follow_up	3	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.698220+00:00
B102475	B100024	surgery	cancer	last_known_disease_status	1	no_known_disease	No known disease				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.622871+00:00
B102476	B100024	surgery	cancer	last_known_disease_status	2	stable_disease	Stable disease				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.625149+00:00
B102477	B100024	surgery	cancer	last_known_disease_status	3	recurrent_progressive_disease	Recurrent/progressive disease				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.627671+00:00
B102478	B100024	surgery	cancer	last_known_disease_status	4	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.630026+00:00
B102492	B102337	surgery	cancer	status_post_treatment	1	disease_free	Disease free				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.664984+00:00
B102493	B102337	surgery	cancer	status_post_treatment	2	residual_disease	Residual disease				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.667272+00:00
B102494	B102337	surgery	cancer	status_post_treatment	3	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.669499+00:00
B102479	B102338	surgery	cancer	progression_for_residual_and_disease_free_post_treatment_dfs_or_pfs	1	yes	Yes				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.632727+00:00
B102480	B102338	surgery	cancer	progression_for_residual_and_disease_free_post_treatment_dfs_or_pfs	2	no	No				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.635264+00:00
B102481	B102338	surgery	cancer	progression_for_residual_and_disease_free_post_treatment_dfs_or_pfs	3	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.637505+00:00
B102488	B102339	surgery	cancer	recurrence_for_disease_free_post_treatment_dfs	1	yes	Yes				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.654647+00:00
B102489	B102339	surgery	cancer	recurrence_for_disease_free_post_treatment_dfs	2	no	No				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.656764+00:00
B102490	B102339	surgery	cancer	recurrence_for_disease_free_post_treatment_dfs	3	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.659704+00:00
B100466	B100020	surgery	cancer	recurrence_progression_status_of_samples	1	primary	Primary				FALSE		FALSE						30	sde4	2024-07-02T23:08:40.403219+00:00
B100467	B100020	surgery	cancer	recurrence_progression_status_of_samples	2	progression	Progression				TRUE	Removed, rework 2024-07-17 with Shannon Coy	FALSE						0	sde4	2024-07-18T22:50:34.585375+00:00
B102491	B100020	surgery	cancer	recurrence_progression_status_of_samples	2	recurrent_residual	Recurrent/Residual				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.662451+00:00
B100468	B100020	surgery	cancer	recurrence_progression_status_of_samples	3	recurrent	Recurrent				TRUE	Removed, rework 2024-07-17 with Shannon Coy	FALSE						9	sde4	2024-07-18T22:50:34.601190+00:00
B100469	B100020	surgery	cancer	recurrence_progression_status_of_samples	4	metastasis	Metastasis				TRUE	Removed, rework 2024-07-17 with Shannon Coy	FALSE						0	sde4	2024-07-18T22:50:34.606927+00:00
B100470	B100020	surgery	cancer	recurrence_progression_status_of_samples	5	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.413045+00:00
B102499	B102347	surgery	cancer	tumor_site_general	1	primary	Primary				FALSE		FALSE						39	sde4	2024-07-17T22:18:56.681819+00:00
B102500	B102347	surgery	cancer	tumor_site_general	2	metastatic_local_invasion	Metastatic (local invasion)				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.684020+00:00
B102501	B102347	surgery	cancer	tumor_site_general	3	metastatic_distal	Metastatic (distal)				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.686341+00:00
B102502	B102347	surgery	cancer	tumor_site_general	4	metastatic_nos	Metastatic (NOS)				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.688966+00:00
B102503	B102347	surgery	cancer	tumor_site_general	5	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.691366+00:00
B100471	B100023	surgery	cancer	treatment_history_at_time_of_sample_collection	1	treatment_na_ve	Treatment naïve				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.415337+00:00
B100472	B100023	surgery	cancer	treatment_history_at_time_of_sample_collection	2	received_neoadjuvant_treatment	Received neoadjuvant treatment				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.417747+00:00
B100473	B100023	surgery	cancer	treatment_history_at_time_of_sample_collection	3	received_adjuvant_treatment	Received adjuvant treatment				TRUE	Removed, rework 2024-07-17 with Shannon Coy	FALSE						0	sde4	2024-07-18T22:50:34.639566+00:00
B102498	B100023	surgery	cancer	treatment_history_at_time_of_sample_collection	3	received_prior_adjuvant_treatment	Received prior adjuvant treatment				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.679523+00:00
B100474	B100023	surgery	cancer	treatment_history_at_time_of_sample_collection	4	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.422661+00:00
B102460	B102351	surgery	cancer	chemotherapy_pre_surgery	1	free_text	[free text]				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.587628+00:00
B102461	B102351	surgery	cancer	chemotherapy_pre_surgery	2	none	None				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.589862+00:00
B102462	B102351	surgery	cancer	chemotherapy_pre_surgery	3	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.592262+00:00
B102485	B102352	surgery	cancer	radiation_pre_surgery	1	yes	Yes				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.647800+00:00
B102486	B102352	surgery	cancer	radiation_pre_surgery	2	no	No				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.650069+00:00
B102487	B102352	surgery	cancer	radiation_pre_surgery	3	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.652463+00:00
B102472	B102353	surgery	cancer	immunotherapy_pre_surgery	1	free_text	[free text]				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.616313+00:00
B102473	B102353	surgery	cancer	immunotherapy_pre_surgery	2	none	None				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.618499+00:00
B102474	B102353	surgery	cancer	immunotherapy_pre_surgery	3	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.620693+00:00
B102466	B102354	surgery	cancer	experimental_tx_pre_surgery	1	free_text	[free text]				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.601406+00:00
B102467	B102354	surgery	cancer	experimental_tx_pre_surgery	2	none	None				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.604841+00:00
B102468	B102354	surgery	cancer	experimental_tx_pre_surgery	3	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.607162+00:00
B102457	B102355	surgery	cancer	chemotherapy_adjuvant	1	free_text	[free text]				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.580545+00:00
B102458	B102355	surgery	cancer	chemotherapy_adjuvant	2	none	None				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.582832+00:00
B102459	B102355	surgery	cancer	chemotherapy_adjuvant	3	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.585205+00:00
B102482	B102356	surgery	cancer	radiation_adjuvant	1	yes	Yes				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.640513+00:00
B102483	B102356	surgery	cancer	radiation_adjuvant	2	no	No				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.643069+00:00
B102484	B102356	surgery	cancer	radiation_adjuvant	3	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.645533+00:00
B102469	B102357	surgery	cancer	immunotherapy_adjuvant	1	free_text	[free text]				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.609407+00:00
B102470	B102357	surgery	cancer	immunotherapy_adjuvant	2	none	None				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.611601+00:00
B102471	B102357	surgery	cancer	immunotherapy_adjuvant	3	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.613783+00:00
B102495	B102358	surgery	cancer	targeted_therapies_adjuvant	1	free_text	[free text]				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.671733+00:00
B102496	B102358	surgery	cancer	targeted_therapies_adjuvant	2	none	None				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.674757+00:00
B102497	B102358	surgery	cancer	targeted_therapies_adjuvant	3	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.677305+00:00
B102463	B102359	surgery	cancer	experimental_tx_adjuvant	1	free_text	[free text]				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.594613+00:00
B102464	B102359	surgery	cancer	experimental_tx_adjuvant	2	none	None				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.596860+00:00
B102465	B102359	surgery	cancer	experimental_tx_adjuvant	3	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-17T22:18:56.599124+00:00
B100475	B100021	surgery	cancer	tumor_site	1	primary	Primary				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.424948+00:00
B100476	B100021	surgery	cancer	tumor_site	2	metastatic	Metastatic				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.427290+00:00
B100477	B100021	surgery	cancer	tumor_site	3	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.429596+00:00
B100463	B100022	surgery	cancer	progression_or_recurrence	1	yes	Yes				FALSE		FALSE						24	sde4	2024-07-02T23:08:40.396088+00:00
B100464	B100022	surgery	cancer	progression_or_recurrence	2	no	No				FALSE		FALSE						7	sde4	2024-07-02T23:08:40.398513+00:00
B100465	B100022	surgery	cancer	progression_or_recurrence	3	unknown	Unknown				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.400844+00:00
B100585	B100036	surgery	cancer_bladder	procedure	1	biopsy	Biopsy				FALSE		FALSE		efo:0009120	biopsy	https://bioregistry.io/efo:0009120		0	sde4	2024-07-02T23:08:40.689290+00:00
B100586	B100036	surgery	cancer_bladder	procedure	2	transurethral_resection_of_bladder_turbt	Transurethral resection of bladder (TURBT)				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.691555+00:00
B100587	B100036	surgery	cancer_bladder	procedure	3	partial_cystectomy	Partial cystectomy				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.693850+00:00
B100588	B100036	surgery	cancer_bladder	procedure	4	radical_cystectomy_total_cystectomy	Radical cystectomy (total cystectomy)				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.696149+00:00
B100589	B100036	surgery	cancer_bladder	procedure	5	radical_cystoprostatectomy	Radical cystoprostatectomy				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.698626+00:00
B100590	B100036	surgery	cancer_bladder	procedure	6	anterior_exenteration	Anterior exenteration				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.700901+00:00
B100591	B100036	surgery	cancer_bladder	procedure	7	radical_nephrectomy	Radical nephrectomy				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.703135+00:00
B100592	B100036	surgery	cancer_bladder	procedure	8	tur_urethral_tumor	TUR urethral tumor				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.705459+00:00
B100624	B100037	surgery	cancer_bladder	tumor_site	1	trigone	Trigone				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.782252+00:00
B100625	B100037	surgery	cancer_bladder	tumor_site	2	right_lateral_wall	Right lateral wall				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.784564+00:00
B100626	B100037	surgery	cancer_bladder	tumor_site	3	left_lateral_wall	Left lateral wall				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.787013+00:00
B100627	B100037	surgery	cancer_bladder	tumor_site	4	anterior_wall	Anterior wall				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.789406+00:00
B100628	B100037	surgery	cancer_bladder	tumor_site	5	posterior_wall	Posterior wall				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.791851+00:00
B100629	B100037	surgery	cancer_bladder	tumor_site	6	dome	Dome				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.794309+00:00
B100630	B100037	surgery	cancer_bladder	tumor_site	7	ureter	Ureter				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.797358+00:00
B100631	B100037	surgery	cancer_bladder	tumor_site	8	renal_pelvic	Renal pelvic				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.799681+00:00
B100536	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	1	papillary_urothelial_carcinoma_noninvasive	Papillary urothelial carcinoma, noninvasive				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.572941+00:00
B100537	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	2	papillary_urothelial_carcinoma_invasive	Papillary urothelial carcinoma, invasive				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.575317+00:00
B100538	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	3	urothelial_carcinoma_in_situ	Urothelial carcinoma in situ				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.577728+00:00
B100539	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	4	urothelial_carcinoma_invasive	Urothelial carcinoma, invasive				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.580348+00:00
B100540	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	5	urothelial_carcinoma_nested	Urothelial carcinoma, nested				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.582692+00:00
B100541	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	6	urothelial_carcinoma_microcystic_variant	Urothelial carcinoma, microcystic variant				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.585003+00:00
B100542	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	7	urothelial_carcinoma_micropapillary_variant	Urothelial carcinoma, micropapillary variant				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.587320+00:00
B100543	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	8	urothelial_carcinoma_lymphoepithelioma_like_variant	Urothelial carcinoma, lymphoepithelioma-like variant				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.589667+00:00
B100544	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	9	urothelial_carcinoma_plasmacytoid_signet_ring_cell_diffuse	Urothelial carcinoma, plasmacytoid/signet ring cell/diffuse				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.592144+00:00
B100545	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	10	urothelial_carcinoma_sarcomatoid_variant	Urothelial carcinoma, sarcomatoid variant				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.594380+00:00
B100546	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	11	urothelial_carcinoma_giant_cell_variant	Urothelial carcinoma, giant cell variant				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.596634+00:00
B100547	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	12	urothelial_carcinoma_poorly_differentiated_variant	Urothelial carcinoma, poorly differentiated variant				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.598939+00:00
B100548	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	13	urothelial_carcinoma_lipid_rich_variant	Urothelial carcinoma, lipid-rich variant				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.601260+00:00
B100549	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	14	urothelial_carcinoma_clear_cell_variant	Urothelial carcinoma, clear cell variant				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.604485+00:00
B100550	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	15	urothelial_carcinoma_with_squamous_differentiation	Urothelial carcinoma with squamous differentiation				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.606823+00:00
B100551	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	16	urothelial_carcinoma_with_glandular_differentiation	Urothelial carcinoma with glandular differentiation				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.609104+00:00
B100552	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	17	urothelial_carcinoma_with_trophoblastic_differentiation	Urothelial carcinoma with trophoblastic differentiation				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.611374+00:00
B100553	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	18	urothelial_carcinoma_with_mullerian_differentiation	Urothelial carcinoma with Mullerian differentiation				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.613776+00:00
B100554	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	19	squamous_cell_carcinoma_pure_squamous	Squamous cell carcinoma - Pure squamous				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.616349+00:00
B100555	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	20	squamous_cell_carcinoma_verrucous_squamous	Squamous cell carcinoma - Verrucous squamous				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.618602+00:00
B100556	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	21	squamous_cell_carcinoma_squamous_cell_papilloma	Squamous cell carcinoma - Squamous cell papilloma				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.620836+00:00
B100557	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	22	urachal_carcinoma	Urachal carcinoma				FALSE		FALSE		doid:5958	bladder urachal carcinoma	https://bioregistry.io/doid:5958		0	sde4	2024-07-02T23:08:40.623165+00:00
B100558	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	23	clear_cell_carcinoma	Clear cell carcinoma				FALSE		FALSE		doid:4468	clear cell adenocarcinoma	https://bioregistry.io/doid:4468		0	sde4	2024-07-02T23:08:40.625709+00:00
B100559	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	24	endometroid_carcinoma	Endometroid carcinoma				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.628246+00:00
B100560	B100038	surgery	cancer_bladder	histologic_type_select_all_that_apply	25	small_cell_neuroendocrine	Small cell neuroendocrine				FALSE		FALSE						0	sde4	2024-07-02T23:08:40.630578+00:00
